"word"	"weight"
"W1ndys"	"100"
"勤工助学"	"80"
"进群"	"50"
"点击链接加入群聊"	"50"
"小程序"	"40"
"钱"	"25"
"购票"	"40"
"➕"	"35"
"v"	"35"
"V"	"35"
"论文"	"25"
"毕设"	"5"
"勤工俭学"	"30"
"QQ群"	"25"
"群号"	"45"
"微信"	"45"
"加我"	"15"
"佣金"	"15"
"日结"	"15"
"薪资"	"15"
"50-100"	"25"
"200/天"	"20"
"寒假"	"15"
"周末"	"15"
"小时工"	"20"
"线上兼职"	"15"
"无押金"	"5"
"名额有限"	"10"
"包过"	"5"
"代看网课"	"40"
"调剂帮助"	"30"
"论文包过"	"50"
"勤工群"	"40"
"圣都花园"	"10"
"姨妈巾"	"20"
"避孕套"	"60"
"凑人头"	"5"
"店铺销量"	"35"
"AI头条"	"5"
"一对一教学"	"5"
"司法考试"	"5"
"法考"	"5"
"抖音代发"	"35"
"毕设论文"	"25"
"学习通代做"	"45"
"舒舒又服服"	"5"
"学祙学姐"	"5"
"御姐双煞"	"60"
"二维码"	"40"
"扫"	"15"
"咸鱼"	"5"
"四六级必过"	"20"
"押题"	"5"
"微信群"	"25"
"vx号"	"45"
"薪资日结"	"20"
"已报备"	"35"
"寒假工"	"12"
"代发视频"	"15"
"代课"	"20"
"日结现结"	"18"
"凑销量"	"25"
"勤工助学"	"25"
"刷单"	"30"
"账号操作"	"15"
"验证消息"	"10"
"后果自负"	"20"
"白嫖"	"5"
"司法考试培训"	"15"
"真题押题"	"18"
"数据调显著"	"15"
"低价拼课"	"12"
"群内报备"	"15"
"工资拖欠"	"10"
"招生办老师"	"15"
"代学习通"	"40"
"验证备注"	"12"
"勤工俭学任务"	"20"
"短期工"	"5"
"日结工资"	"18"
"辅导培训"	"15"
"名额备用"	"12"
"扫码进群"	"20"
"后果标注"	"10"
"兼职"	"30"
"线上"	"15"
"线下"	"15"
"暑假"	"15"
"空闲"	"10"
"生活费"	"10"
"学费"	"10"
"零花钱"	"10"
"报名"	"10"
"咨询"	"10"
"加微信"	"10"
"加QQ"	"10"
"先备着"	"10"
"正规"	"5"
"无会费"	"5"
"长期合作"	"5"
"录稿子"	"5"
